Over #,Ball #,Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Class,Outcome,Total Runs ,Delivery Length,Delivery Line,Bowling Side,Delivery Speed,Delivery Type,Shot Type ,Shot Field Position,Hit Type,Ball Type,Out type,Umpire Actions,Field Activity 1 ,Field Activity 2 ,Field Activity 3 ,Other Actions 1,Other Actions 2
1,1,Shaheen Shah Afridi,Martin Guptill ,Batsman,Dot,0,Length (6-9 m),On the leg stump,Unknown,145,Inswinger,Straight drive,Mid On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,2,Shaheen Shah Afridi,Martin Guptill ,Batsman,Dot,0,Full length(5-6 m),Outside off,Unknown,Unknown,Unknown,Cover drive,Mid Wicket,Inside Edge ,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,3,Shaheen Shah Afridi,Martin Guptill ,Batsman,Dot,0,Good length(6-8 m),On the stump,Unknown,125,Off Cutter,Unknown,Unknown,Outside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,4,Shaheen Shah Afridi,Martin Guptill ,Batsman,Single,1,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Pull,Long Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,5,Shaheen Shah Afridi,Tim Seifert ,Batsman,Four,4,Good length(6-8 m),Outside off,Unknown,Unknown,Unknown,Cover drive,Extra Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,6,Shaheen Shah Afridi,Tim Seifert ,Batsman,Dot,0,Good length(6-8 m),On the stump,Unknown,Unknown,Unknown,Forward defence,Mid On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,1,Mohammad Hasnain,Martin Guptill ,Batsman,Single,1,Short (>9 m),Outside off,Unknown,100,Unknown,Unknown,Cover,Unknown,Legal,Not Out,Normal ,Miss Field,Normal Fielding,Normal Fielding,Nothing,Nothing
2,2,Mohammad Hasnain,Tim Seifert,Batsman,Dot,0,Full length(5-6 m),On the leg stump,Unknown,Unknown,Unknown,Forward defence,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,3,Mohammad Hasnain,Tim Seifert,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,100,Bouncer,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,4,Mohammad Hasnain,Tim Seifert,Batsman,Dot,0,Back of a length(8-9 m),On middle stump,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,5,Mohammad Hasnain,Tim Seifert,Batsman,Six,6,Length (6-9 m),Outside off,Unknown,150,Reverse Swing,Unknown,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,6,Mohammad Hasnain,Tim Seifert,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,100,Bouncer,Cut,Unknown,Outside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
3,1,Shaheen Shah Afridi,Martin Guptill ,Batsman,Single,1,Short (>9 m),On the leg stump,Unknown,Unknown,Unknown,Pull,Square Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
3,2,Shaheen Shah Afridi,Tim Seifert ,Batsman,Double,2,Full length(5-6 m),On middle stump,Unknown,125,Slower Ball,lofted drive,Mid On,Unknown,Legal,Not Out,Normal ,In the air,Normal Fielding,Normal Fielding,Nothing,Nothing
3,3,Shaheen Shah Afridi,Tim Seifert ,Batsman,Triple,3,Length (6-9 m),On the leg stump,Unknown,Unknown,Inswinger,Flick,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
3,4,Shaheen Shah Afridi,Martin Guptill ,Batsman,Dot,0,Good length(6-8 m),On the off Stump,Unknown,Unknown,Unknown,Forward defence,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
3,5,Shaheen Shah Afridi,Martin Guptill ,Batsman,Four,4,Good length(6-8 m),Unknown,Unknown,Unknown,Unknown,Unknown,Backward Square,Top Egde,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
3,6,Shaheen Shah Afridi,Martin Guptill ,Batsman,Single,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Square Leg,On the Pads,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
4,1,Mohammad Hasnain,Martin Guptill ,Batsman,Dot,0,Good length(6-8 m),Outside off,Unknown,Unknown,Unknown,Unknown,Unknown,Top Egde,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
4,2,Mohammad Hasnain,Martin Guptill ,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,100,Yorker,Flick,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
