Over #,Ball #,Bowler_Name+Cricinfo_Link,Batsman_Name+Cricinfo_Link,Outcome,Total Runs ,Comment_CricInfo,Comment_CricBuzz,Delivery Length,Delivery Line,Bowling Side,Delivery Speed,Delivery Type,Shot Type ,Shot Field Position,Hit Type,Ball Type,Out_type,Umpire Actions,Field Activity 1 ,Field Activity 2 ,Field Activity 3 ,Other Actions 1,Other Actions 2
1,1,Saqib Mahmood,Babar Azam (c),Dot,0,"Hard length in the channel, Azam steps out and punches to extra cover"," straightaway pitches it up outside off, Azam brings out an elegant drive but finds extra cover",Hard Length,Outside Off,Unknown,Unknown,Normal,Punches,Short Cover,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,2,Saqib Mahmood,Babar Azam (c),Dot,0,"Banged into the surface at 87mph/139kph and this is angled towards backward point with an open face

","140kph, shortens his length and keeps it just outside off, Azam jumps back and drops it with soft hands towards point",Short (>9 m),Outside Off,Unknown,140,Normal,Pull,Backward Point,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,3,Saqib Mahmood,Babar Azam (c),Single,1,"Short and at the body, 82mph/132kph and worked through square off the back foot",short-arm jabs this back of a length delivery aimed at his hips through square leg and gets off the mark,Length (6-9 m),At Body,Unknown,132,Normal,Flick,Square ,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,4,Saqib Mahmood,Fakhar Zaman ,Dot,0,"Back of a length, Zaman plays away from his body and chops an inside edge past his stumps, short fine leg cuts it off","shortish and angles it away from Zaman, who without any feet movement gropes at it and gets a thick inside edge which bobbles past the stumps en route to short fine leg",Short (>9 m),Angles Away,Unknown,Unknown,Normal,Pull,Fine Leg,Thick Inside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
1,5,Saqib Mahmood,Fakhar Zaman ,Single,1,"Leading edge, just out of reach in Mahmood's follow-through! Touch fuller, nibbling as Zaman closes the face, squirts it back past the non-striker's stumps for a single","""Catch"" is the shout but it's out of Mahmood's grasp. Fuller length and straightens a touch, enticed Zaman to flick it across the line through mid-wicket. Leading edge pops up in the air and falls to the right of the bowler. Lucky escape there for Zaman",Full length(5-6 m),Down the leg side,Unknown,Unknown,Normal,Flick,Bowler,Leading Edge,Legal,Not Out,Normal ,In the air,Normal Fielding,Normal Fielding,Nothing,Nothing
1,6,Saqib Mahmood,Babar Azam (c),Dot,0,"Short, cramps him with the ball coming in, short-armed to mid-on - tidy opening over from Mahmood"," shortish, Azam stands tall and knocks it to mid-on",Short (>9 m),Coming In,Unknown,Unknown,Normal,On drive,Mid On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,1,Moeen Ali ,Fakhar Zaman ,Out,0,"Bowled 'im through the gate! Moeen finds his line from round the wicket straight away, and he topples Zaman with his first ball! Nicely flighted but this didn't turn, as the batsman was expecting, simply scuttled on with the arm and into the top of middle stump. Good night!","Cleaned up. Moeen Ali strikes gold off his first ball as England have an early wicket. Fakhar Zaman looked very edgy in the two balls he faced today and now, totally misreads an arm-ball from the offie here. Slanted in from round the wicket, Zaman was stuck in his crease, didn't anticipate it at all, left a huge gap between his bat and ball. Enough for it to sneak through the gate and crash the stumps. Horrible start for Pakistan. ",Good length(6-8 m),Middle Stumps,Around the Wicket,Unknown,Arm Ball,Miss,Wicket Keeper,Miss,Legal,Bowled,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Bowlers Celebration,Nothing
2,2,Moeen Ali ,Haider Ali ,Single,1,"Over the wicket, tossed up and clipped through mid-on for his first international run",worked away to long-on. The youngster is away with a single,Good length(6-8 m),Unknown,Over the Wicket,Unknown,Normal,Clipped,Mid On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,3,Moeen Ali ,Babar Azam (c),Single,1,Darted on the stumps and Azam nudges another back down the ground,"spinning back in, Azam gets behind it and wrists it to long-on",Good length(6-8 m),On the stumps,Unknown,Unknown,Normal,On drive,Long On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,4,Moeen Ali ,Haider Ali ,Six,6,"Haider goes boom! Second ball launched over wide long-on! He has absolutely melted that, down on one knee and slogging aggressively through the line","oh, wow. A fearless hit from the 19-year old. Sits down on his knees, imparts some power in his attempted swipe down the ground and launches it furiously over long-on. First six in T20I cricket, amazing shot from Haider Ali!",Good length(6-8 m),On middle stump,Unknown,Unknown,Normal,Sweep,Long On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,5,Moeen Ali ,Haider Ali ,Single,1,Pushed through and tucked off the pads,now sensibly eases this off-break to long-on all along the ground,Good length(6-8 m),Off Side,Unknown,Unknown,Off Break,Push,Long On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
2,6,Moeen Ali ,Babar Azam (c),Single,1,"Floated up outside off, Azam opens the face on a drive in front of square",punched through cover,Good length(6-8 m),Outside Off,Unknown,Unknown,Normal,On drive,Cover,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
3,1,Saqib Mahmood,Babar Azam (c),Single,1,Length in the channel and steered down to third man,"short outside off, Azam laces the cut away to third man",Short (>9 m),Outside Off,Unknown,Unknown,Normal,Pull,Third Man,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
