Bowler_Name+Cricinfo_Link,Batsman_Name+Cricinfo_Link,Delivery Length,Delivery Line,Shot Type
Saqib Mahmood,Babar Azam (c),Length (6-9 m),Outside Off,Punches
Saqib Mahmood,Babar Azam (c),Short (>9 m),Outside Off,Pull
Saqib Mahmood,Babar Azam (c),Length (6-9 m),At Body,Flick
Saqib Mahmood,Fakhar Zaman ,Short (>9 m),Angles Away,Pull
Saqib Mahmood,Fakhar Zaman ,Full length(5-6 m),Down the leg side,Flick
Saqib Mahmood,Babar Azam (c),Short (>9 m),Coming In,On drive
Moeen Ali ,Fakhar Zaman ,Good length(6-8 m),Middle Stumps,Miss
Moeen Ali ,Haider Ali ,Good length(6-8 m),Unknown,Clipped
Moeen Ali ,Babar Azam (c),Good length(6-8 m),On the stumps,On drive
Moeen Ali ,Haider Ali ,Good length(6-8 m),On middle stump,Sweep
Moeen Ali ,Haider Ali ,Good length(6-8 m),Off Side,Push
Moeen Ali ,Babar Azam (c),Good length(6-8 m),Outside Off,On drive
Saqib Mahmood,Babar Azam (c),Short (>9 m),Outside Off,Pull
Saqib Mahmood,Haider Ali ,Length (6-9 m),Straighter,Clipped
Saqib Mahmood,Babar Azam (c),Length (6-9 m),Unknown,Cover Drive
Saqib Mahmood,Babar Azam (c),Short (>9 m),Down the leg side,Pull
Saqib Mahmood,Babar Azam (c),Length (6-9 m),Outside Off,Cut
Saqib Mahmood,Babar Azam (c),Short (>9 m),Outside Off,Cut
Chris Jordan ,Babar Azam (c),Full length(5-6 m),On Off,Straight drive
Chris Jordan ,Babar Azam (c),Short (>9 m),Outside Off,On drive
Chris Jordan ,Babar Azam (c),Unknown,Unknown,Pull
Chris Jordan ,Babar Azam (c),Length (6-9 m),Into the Pads,Tuck
Chris Jordan ,Haider Ali ,Short (>9 m),At the Hip,Swings
Chris Jordan ,Babar Azam (c),Short (>9 m),On Middle and Leg,Whipped
Tom Curran ,Babar Azam (c),Full length(5-6 m),BlackHole,Bunt
Tom Curran ,Babar Azam (c),Length (6-9 m),In the stumps,Miss
Tom Curran ,Mohammad Hafeez ,Unknown,On the pads,Pull
Tom Curran ,Mohammad Hafeez ,Short (>9 m),Outside Off,Pull
Tom Curran ,Haider Ali ,Short (>9 m),Off Stump,Pull
Tom Curran ,Haider Ali ,Half-volley(<5 m),Unknown,Lofted Drive
Chris Jordan ,Mohammad Hafeez ,Length (6-9 m),On the stumps,Pull
Chris Jordan ,Haider Ali ,Short (>9 m),Outside Off,On drive
Chris Jordan ,Haider Ali ,Short (>9 m),Unknown,Pull
Chris Jordan ,Haider Ali ,Short (>9 m),On the stumps,Pushes
Chris Jordan ,Mohammad Hafeez ,Short (>9 m),Outside Off,Taps
Chris Jordan ,Mohammad Hafeez ,Length (6-9 m),Unknown,Clipped
Tom Curran ,Haider Ali ,Full length(5-6 m),Outside Off,On drive
Tom Curran ,Mohammad Hafeez ,Length (6-9 m),Leg Side,Miss
Tom Curran ,Mohammad Hafeez ,Short (>9 m),Unknown,Cut
Tom Curran ,Mohammad Hafeez ,Length (6-9 m),Outside Off,Pull
Tom Curran ,Haider Ali ,Length (6-9 m),On the stumps,Nudged
Tom Curran ,Mohammad Hafeez ,Short (>9 m),Bouncer,leave
Lewis Gregory ,Haider Ali ,Length (6-9 m),On the pads,Swings
