Batsman_Name+Cricinfo_Link,Delivery Length,Delivery Line,Shot Type
Babar Azam (c),Hard Length,Outside Off,Punches
Babar Azam (c),Short (>9 m),Outside Off,Pull
Babar Azam (c),Length (6-9 m),At Body,Flick
Fakhar Zaman ,Short (>9 m),Angles Away,Pull
Fakhar Zaman ,Full length(5-6 m),Down the leg side,Flick
Babar Azam (c),Short (>9 m),Coming In,On drive
Fakhar Zaman ,Good length(6-8 m),Middle Stumps,Miss
Haider Ali ,Good length(6-8 m),Unknown,Clipped
Babar Azam (c),Good length(6-8 m),On the stumps,On drive
Haider Ali ,Good length(6-8 m),On middle stump,Sweep
Haider Ali ,Good length(6-8 m),Off Side,Push
Babar Azam (c),Good length(6-8 m),Outside Off,On drive
Babar Azam (c),Short (>9 m),Outside Off,Pull
Haider Ali ,Length (6-9 m),Straighter,Clipped
Babar Azam (c),Length (6-9 m),Unknown,Cover Drive
Babar Azam (c),Short (>9 m),Down the leg side,Pull
Babar Azam (c),Length (6-9 m),Outside Off,Cut
Babar Azam (c),Short (>9 m),Outside Off,Cut
Babar Azam (c),Full length(5-6 m),On Off,Straight drive
Babar Azam (c),Short (>9 m),Outside Off,On drive
Babar Azam (c),Unknown,Unknown,Pull
Babar Azam (c),Length (6-9 m),Into the Pads,Tuck
Haider Ali ,Short (>9 m),At the Hip,Swings
Babar Azam (c),Short (>9 m),On Middle and Leg,Whipped
Babar Azam (c),Full length(5-6 m),BlackHole,Bunt
Babar Azam (c),Length (6-9 m),In the stumps,Miss
Mohammad Hafeez ,Unknown,On the pads,Pull
Mohammad Hafeez ,Short (>9 m),Outside Off,Pull
Haider Ali ,Short (>9 m),Off Stump,Pull
Haider Ali ,Half-volley(<5 m),Unknown,Lofted Drive
Mohammad Hafeez ,Length (6-9 m),On the stumps,Pull
Haider Ali ,Short (>9 m),Outside Off,On drive
Haider Ali ,Short (>9 m),Unknown,Pull
Haider Ali ,Short (>9 m),On the stumps,Pushes
Mohammad Hafeez ,Short (>9 m),Outside Off,Taps
Mohammad Hafeez ,Length (6-9 m),Unknown,Clipped
Haider Ali ,Full length(5-6 m),Outside Off,On drive
Mohammad Hafeez ,Length (6-9 m),Leg Side,Miss
Mohammad Hafeez ,Short (>9 m),Unknown,Cut
Mohammad Hafeez ,Length (6-9 m),Outside Off,Pull
Haider Ali ,Length (6-9 m),On the stumps,Nudged
Mohammad Hafeez ,Short (>9 m),Bouncer,leave
Haider Ali ,Length (6-9 m),On the pads,Swings
