Batsman_Name+Cricinfo_Link,Shot Type,Shot Field Position,Hit Type
Babar Azam (c),Punches,Short Cover,Middled
Babar Azam (c),Pull,Backward Point,Middled
Babar Azam (c),Flick,Square,Middled
Fakhar Zaman ,Pull,Fine Leg,Thick Inside Edge
Fakhar Zaman ,Flick,Bowler,Leading Edge
Babar Azam (c),On drive,Mid On,Middled
Fakhar Zaman ,Miss,Wicket Keeper,Miss
Haider Ali ,Clipped,Mid On,Middled
Babar Azam (c),On drive,Long On,Middled
Haider Ali ,Sweep,Long On,Middled
Haider Ali ,Push,Long On,Middled
Babar Azam (c),On drive,Cover,Middled
Babar Azam (c),Pull,Third Man,Middled
Haider Ali ,Clipped,Deep Square leg,Middled
Babar Azam (c),Cover Drive,Mid Off,Middled
Babar Azam (c),Pull,Mid Wicket,Thin Edge
Babar Azam (c),Cut,Third Man,Middled
Babar Azam (c),Cut,Third Man,Middled
Babar Azam (c),Straight drive,Bowler,Middled
Babar Azam (c),On drive,Third Man,Middled
Babar Azam (c),Pull,Backward Point,Middled
Babar Azam (c),Tuck,Backward Square,Middled
Haider Ali ,Swings,Third Man,Middled
Babar Azam (c),Whipped,Deep Mid Wicket,Middled
Babar Azam (c),Bunt,Mid On,Middled
Babar Azam (c),Miss,Wicket,Miss
Mohammad Hafeez ,Pull,Short Fine Leg,Middled
Mohammad Hafeez ,Pull,Deep Square leg,Middled
Haider Ali ,Pull,Wicket Keeper,Bottom Edge
Haider Ali ,Lofted Drive,Mid Wicket,Middled
Mohammad Hafeez ,Pull,Mid On,Middled
Haider Ali ,On drive,Fine Leg,Bottom Edge
Haider Ali ,Pull,Square Leg,Middled
Haider Ali ,Pushes,Mid On,Middled
Mohammad Hafeez ,Taps,Cover,Middled
Mohammad Hafeez ,Clipped,Extra Cover,Middled
Haider Ali ,On drive,Mid Off,Middled
Mohammad Hafeez ,Miss,Wicket Keeper,Miss
Mohammad Hafeez ,Cut,Deep Square leg,Middled
Mohammad Hafeez ,Pull,Third Man,Middled
Haider Ali ,Nudged,Fine Leg,Middled
Mohammad Hafeez ,leave,Wicket Keeper,Miss
Haider Ali ,Swings,Deep Mid Wicket,Middled
Haider Ali ,Pull,Third Man,Middled
Mohammad Hafeez ,Flick,Cover,Middled
Haider Ali ,Pull,Deep Mid Wicket,Middled
Mohammad Hafeez ,Pushes,Long On,Middled
Haider Ali ,leave,Wicket Keeper,Miss
Haider Ali ,Slice,Backward Point,Middled
Haider Ali ,Cut,Deep Point,Middled
Haider Ali ,Flick,Backward Square Leg,Middled
Haider Ali ,Cut,Point,Middled
Mohammad Hafeez ,On drive,Point,Middled
Mohammad Hafeez ,Flick,Long On,Middled
Haider Ali ,Pull,Mid Wicket,Middled
Haider Ali ,Pull,Mid off,Middled
Haider Ali ,On drive,Mid Wicket,Middled
Haider Ali ,Pull,Third Man,Middled
Mohammad Hafeez ,Swung,Leg Side,Middled
Mohammad Hafeez ,Pull,Wicket Keeper,Miss
Mohammad Hafeez ,Pull,Wicket Keeper,Inside Edge
Haider Ali ,Pull,Unknown,Middled
Mohammad Hafeez ,Miss,Bowler,Miss
Mohammad Hafeez ,Clipped,Long On,Middled
Haider Ali ,Picked Away,Long On,Middled
Mohammad Hafeez ,Sweep,Mid Wicket,Middled
Mohammad Hafeez ,Square Drive,Square Leg,Middled
Mohammad Hafeez ,Miss,Wicket Keeper,Miss
Haider Ali ,Pull,Deep Square leg,Middled
Mohammad Hafeez ,Cut,Wicket Keeper,Miss
Mohammad Hafeez ,Pull,Square Leg,Inside Edge
Haider Ali ,Clipped,Mid Wicket,Middled
Haider Ali ,Pull,Bowler,Miss
Haider Ali ,Pull,Square,Middled
Mohammad Hafeez ,Glided Away,Third Man,Middled
Haider Ali ,Pull,Wicket Keeper,Miss
Haider Ali ,Punches,Cover,Middled
Mohammad Hafeez ,On drive,Mid Wicket,Middled
Mohammad Hafeez ,Swats,Leg Side,Middled
Haider Ali ,leave,Wicket Keeper,Miss
Mohammad Hafeez ,Swings,Bowler,Miss
Mohammad Hafeez ,leave,Wicket Keeper,Miss
Mohammad Hafeez ,Straight drive,Long On,Middled
Mohammad Hafeez ,Reverse Sweep,Cover,Middled
Mohammad Hafeez ,Sweep,Wicket Keeper,Miss
Mohammad Hafeez ,Sweep,Behind Square,Middled
Mohammad Hafeez ,Pull,Wicket Keeper,Miss
Haider Ali ,Clipped,Mid Wicket,Middled
Mohammad Hafeez ,Pull,Leg Side,Middled
Haider Ali ,Miss,Wicket,Bowled
Shadab Khan ,Forward defence,Bowler,Middled
Mohammad Hafeez ,Cut,Wicket Keeper,Miss
Mohammad Hafeez ,Pull,Mid on,Top Edge
Mohammad Hafeez ,Swings,Behind Square,Middled
Mohammad Hafeez ,Clipped,Leg Side,Middled
Shadab Khan ,Pull,Long On,Middled
Mohammad Hafeez ,Slice,Long Off,Middled
Mohammad Hafeez ,Pull,Behind Square,Top Edge
Shadab Khan ,Cut,Wicket Keeper,Miss
Shadab Khan ,Pull,Third Man,Middled
Mohammad Hafeez ,Swings,Unknown,Middled
Mohammad Hafeez ,Flick,Mid Off,Middled
Shadab Khan ,Straight drive,Backward Point,Middled
Mohammad Hafeez ,Pull,Gully,Middled
Shadab Khan ,Pull,Leg Side,Bottom Edge
Mohammad Hafeez ,Flick,Outside Off,Middled
Mohammad Hafeez ,Dragged,Leg Side,Middled
Shadab Khan ,Flick,Deep Mid Wicket,Middled
Mohammad Hafeez ,Pull,Deep Backward Square,Middled
Mohammad Hafeez ,Swings,Deep Mid Wicket,Middled
Shadab Khan ,Flick,Backward Square,Middled
Shadab Khan ,Lofted Drive,Long On,Middled
Mohammad Hafeez ,Pull,Unknown,Middled
Mohammad Hafeez ,Flick,Off Side,Inside Edge
Shadab Khan ,Miss,Wicket Keeper,Miss
Shadab Khan ,Cut,Mid Off,Middled
Imad Wasim ,Straight drive,Long On,Middled
Imad Wasim ,Pull,Long On,Middled
Mohammad Hafeez ,Whipped,Long On,Middled
Imad Wasim ,leave,Wicket Keeper,Miss
Imad Wasim ,Cut,Third Man,Thick Outside Edge
Mohammad Hafeez ,Swats,Long On,Middled
Mohammad Hafeez ,Flick,Cover,Middled
Imad Wasim ,Pull,Cover Sweeper,Middled
Mohammad Hafeez ,Straight drive,Long On,Middled
